metric,territory,gender,age,count
Participation rate (%),Western Australia,Female,50-54 years,82.5
Total participants,Tasmania,Female,50-54 years,13881
Eligible participants,Tasmania,Female,50-54 years,16772
Participation rate (%),Tasmania,Female,50-54 years,82.8
Total participants,Northern Territory,Female,50-54 years,4095
Eligible participants,Northern Territory,Female,50-54 years,6208
Participation rate (%),Northern Territory,Female,50-54 years,66
Total participants,Australian Capital Territory,Female,50-54 years,10162
Eligible participants,Australian Capital Territory,Female,50-54 years,11846
Participation rate (%),Australian Capital Territory,Female,50-54 years,85.8
Total participants,Australia,Female,50-54 years,570227
Eligible participants,Australia,Female,50-54 years,686615
Participation rate (%),Australia,Female,50-54 years,83
Total participants,New South Wales,Female,55-59 years,192455
Eligible participants,New South Wales,Female,55-59 years,226306
Participation rate (%),New South Wales,Female,55-59 years,85
Total participants,Victoria,Female,55-59 years,150084
Eligible participants,Victoria,Female,55-59 years,173138
Participation rate (%),Victoria,Female,55-59 years,86.7
Total participants,Queensland,Female,55-59 years,116609
Eligible participants,Queensland,Female,55-59 years,137996
Participation rate (%),Queensland,Female,55-59 years,84.5
Total participants,South Australia,Female,55-59 years,45922
Eligible participants,South Australia,Female,55-59 years,53729
Participation rate (%),South Australia,Female,55-59 years,85.5
Total participants,Western Australia,Female,55-59 years,58312
Eligible participants,Western Australia,Female,55-59 years,68814
Participation rate (%),Western Australia,Female,55-59 years,84.7
Total participants,Tasmania,Female,55-59 years,15905
Eligible participants,Tasmania,Female,55-59 years,18564
Participation rate (%),Tasmania,Female,55-59 years,85.7
Total participants,Northern Territory,Female,55-59 years,3865
Eligible participants,Northern Territory,Female,55-59 years,5674
Participation rate (%),Northern Territory,Female,55-59 years,68.1
Total participants,Australian Capital Territory,Female,55-59 years,9997
Eligible participants,Australian Capital Territory,Female,55-59 years,11380
Participation rate (%),Australian Capital Territory,Female,55-59 years,87.8
Total participants,Australia,Female,55-59 years,593149
Eligible participants,Australia,Female,55-59 years,695601
Participation rate (%),Australia,Female,55-59 years,85.3
Total participants,New South Wales,Female,60-64 years,179082
Eligible participants,New South Wales,Female,60-64 years,205641
Participation rate (%),New South Wales,Female,60-64 years,87.1
Total participants,Victoria,Female,60-64 years,138943
Eligible participants,Victoria,Female,60-64 years,157489
Participation rate (%),Victoria,Female,60-64 years,88.2
Total participants,Queensland,Female,60-64 years,107818
Eligible participants,Queensland,Female,60-64 years,124064
Participation rate (%),Queensland,Female,60-64 years,86.9
Total participants,South Australia,Female,60-64 years,44326
Eligible participants,South Australia,Female,60-64 years,50341
Participation rate (%),South Australia,Female,60-64 years,88.1
Total participants,Western Australia,Female,60-64 years,54834
Eligible participants,Western Australia,Female,60-64 years,63087
Participation rate (%),Western Australia,Female,60-64 years,86.9
Total participants,Tasmania,Female,60-64 years,15355
Eligible participants,Tasmania,Female,60-64 years,17471
Participation rate (%),Tasmania,Female,60-64 years,87.9
Total participants,Northern Territory,Female,60-64 years,3129
Eligible participants,Northern Territory,Female,60-64 years,4458
Participation rate (%),Northern Territory,Female,60-64 years,70.2
Total participants,Australian Capital Territory,Female,60-64 years,8801
Eligible participants,Australian Capital Territory,Female,60-64 years,9833
Participation rate (%),Australian Capital Territory,Female,60-64 years,89.5
Total participants,Australia,Female,60-64 years,552288
Eligible participants,Australia,Female,60-64 years,632384
Participation rate (%),Australia,Female,60-64 years,87.3
Total participants,New South Wales,Female,65-69 years,166004
Eligible participants,New South Wales,Female,65-69 years,186263
Participation rate (%),New South Wales,Female,65-69 years,89.1
Total participants,Victoria,Female,65-69 years,128102
Eligible participants,Victoria,Female,65-69 years,143372
Participation rate (%),Victoria,Female,65-69 years,89.3
Total participants,Queensland,Female,65-69 years,101365
Eligible participants,Queensland,Female,65-69 years,113912
Participation rate (%),Queensland,Female,65-69 years,89
Total participants,South Australia,Female,65-69 years,42430
Eligible participants,South Australia,Female,65-69 years,47206
Participation rate (%),South Australia,Female,65-69 years,89.9
Total participants,Western Australia,Female,65-69 years,49382
Eligible participants,Western Australia,Female,65-69 years,55782
Participation rate (%),Western Australia,Female,65-69 years,88.5
Total participants,Tasmania,Female,65-69 years,14647
Eligible participants,Tasmania,Female,65-69 years,16261
Participation rate (%),Tasmania,Female,65-69 years,90.1
Total participants,Northern Territory,Female,65-69 years,2289
Eligible participants,Northern Territory,Female,65-69 years,3126
Participation rate (%),Northern Territory,Female,65-69 years,73.2
Total participants,Australian Capital Territory,Female,65-69 years,8219
Eligible participants,Australian Capital Territory,Female,65-69 years,9047
Participation rate (%),Australian Capital Territory,Female,65-69 years,90.8
Total participants,Australia,Female,65-69 years,512438
Eligible participants,Australia,Female,65-69 years,574969
Participation rate (%),Australia,Female,65-69 years,89.1
Total participants,New South Wales,Female,70-74 years,138350
Eligible participants,New South Wales,Female,70-74 years,153681
Participation rate (%),New South Wales,Female,70-74 years,90
Total participants,Victoria,Female,70-74 years,104198
Eligible participants,Victoria,Female,70-74 years,116423
Participation rate (%),Victoria,Female,70-74 years,89.5
Total participants,Queensland,Female,70-74 years,82985
Eligible participants,Queensland,Female,70-74 years,92342
Participation rate (%),Queensland,Female,70-74 years,89.9
Total participants,South Australia,Female,70-74 years,35452
Eligible participants,South Australia,Female,70-74 years,39127
Participation rate (%),South Australia,Female,70-74 years,90.6
Total participants,Western Australia,Female,70-74 years,38366
Eligible participants,Western Australia,Female,70-74 years,42965
Participation rate (%),Western Australia,Female,70-74 years,89.3
Total participants,Tasmania,Female,70-74 years,11795
Eligible participants,Tasmania,Female,70-74 years,13134
Participation rate (%),Tasmania,Female,70-74 years,89.8
Total participants,Northern Territory,Female,70-74 years,1404
Eligible participants,Northern Territory,Female,70-74 years,1904
Participation rate (%),Northern Territory,Female,70-74 years,73.7
Total participants,Australian Capital Territory,Female,70-74 years,6267
Eligible participants,Australian Capital Territory,Female,70-74 years,6882
Participation rate (%),Australian Capital Territory,Female,70-74 years,91.1
Total participants,Australia,Female,70-74 years,418817
Eligible participants,Australia,Female,70-74 years,466458
Participation rate (%),Australia,Female,70-74 years,89.8
Total participants,New South Wales,Female,75-79 years,98810
Eligible participants,New South Wales,Female,75-79 years,111061
Participation rate (%),New South Wales,Female,75-79 years,89
Total participants,Victoria,Female,75-79 years,74643
Eligible participants,Victoria,Female,75-79 years,84649
Participation rate (%),Victoria,Female,75-79 years,88.2
Total participants,Queensland,Female,75-79 years,56036
Eligible participants,Queensland,Female,75-79 years,63217
Participation rate (%),Queensland,Female,75-79 years,88.6
Total participants,South Australia,Female,75-79 years,24876
Eligible participants,South Australia,Female,75-79 years,27868
Participation rate (%),South Australia,Female,75-79 years,89.3
Total participants,Western Australia,Female,75-79 years,27609
Eligible participants,Western Australia,Female,75-79 years,31194
Participation rate (%),Western Australia,Female,75-79 years,88.5
Total participants,Tasmania,Female,75-79 years,8301
Eligible participants,Tasmania,Female,75-79 years,9252
Participation rate (%),Tasmania,Female,75-79 years,89.7
Total participants,Northern Territory,Female,75-79 years,881
Eligible participants,Northern Territory,Female,75-79 years,1207
Participation rate (%),Northern Territory,Female,75-79 years,73
Total participants,Australian Capital Territory,Female,75-79 years,4194
Eligible participants,Australian Capital Territory,Female,75-79 years,4665
Participation rate (%),Australian Capital Territory,Female,75-79 years,89.9
Total participants,Australia,Female,75-79 years,295350
Eligible participants,Australia,Female,75-79 years,333113
Participation rate (%),Australia,Female,75-79 years,88.7
Total participants,New South Wales,Female,80-84 years,70583
